1000565.METUNv1_02978	r__Root; d__Bacteria; p__Pseudomonadota; c__Betaproteobacteria; o__Nitrosomonadales; f__Sterolibacteriaceae; g__Methyloversatilis; s__Methyloversatilis universalis
102125.Xen7305DRAFT_00052630	r__Root; d__Bacteria; p__Cyanobacteriota; c__Cyanophyceae; o__Pleurocapsales; f__Xenococcaceae; g__Xenococcus; s__Xenococcus sp. PCC 7305
1122203.GCA_000420725_02669	r__Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Marinococcus; s__Marinococcus halotolerans
316058.RPB_4625	r__Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Nitrobacteraceae; g__Rhodopseudomonas; s__Rhodopseudomonas palustris
317010.RU96_GL001188	r__Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__Enterococcus canintestini
317025.Tcr_1545	r__Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Thiotrichales; f__Piscirickettsiaceae; g__Hydrogenovibrio; s__Hydrogenovibrio crunogenus
317619.GCA_000332315_01186	r__Root; d__Bacteria; p__Cyanobacteriota; c__Cyanophyceae; o__Prochlorotrichales; f__Prochlorotrichaceae; g__Prochlorothrix; s__Prochlorothrix hollandica
317735.RU98_GL001417	r__Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__Enterococcus caccae
317936.Nos7107_3132	r__Root; d__Bacteria; p__Cyanobacteriota; c__Cyanophyceae; o__Nostocales; f__Nostocaceae; g__Nostoc; s__Nostoc sp. PCC 7107
318456.GCA_001455895_01177	r__Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Photobacterium; s__Photobacterium kishitanii
318996.GCA_000473065_04617	r__Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Nitrobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium sp. WSM1743
31958.SD37_24365	r__Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Pseudonocardiales; f__Pseudonocardiaceae; g__Amycolatopsis; s__Amycolatopsis orientalis
319970.RV00_GL002184	r__Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__Enterococcus devriesei
